From	To
P07278	sce:YIL033C
P06782	sce:YDR477W
P07342	sce:YMR108W
P38930	sce:YOR039W
P07269	sce:YDL106C
P50278	sce:YNR034W
P14922	sce:YBR112C
P05453	sce:YDR172W
P19262	sce:YDR148C
P20967	sce:YIL125W
Q00764	sce:YBR126C
P31688	sce:YDR074W
P09798	sce:YKL022C
P14724	sce:YFR036W
P16522	sce:YHR166C
P38042	sce:YBL084C
P00899	sce:YER090W
P07258	sce:YOR303W
Q04199	sce:YML102W
Q12495	sce:YPR018W
P13393	sce:YER148W
P23255	sce:YCR042C
P38995	sce:YDR270W
P29056	sce:YGR246C
P61830	sce:YBR010W
P61830	sce:YNL031C
P06701	sce:YLR442C
P11978	sce:YDR227W
P02293	sce:YDR224C
P06700	sce:YDL042C
P38959	sce:YDR080W
P23287	sce:YLR433C
P25296	sce:YKL190W
P09959	sce:YLR182W
P24869	sce:YPR119W
P29295	sce:YPL204W
P23291	sce:YHR135C
P53540	sce:YNL126W
P38863	sce:YHR172W
P32380	sce:YDR356W
P19097	sce:YPL231W
P32468	sce:YHR107C
P32524	sce:YJL203W
P19736	sce:YDL030W
P38426	sce:YMR261C
P15790	sce:YIL035C
P12398	sce:YJR045C
P43639	sce:YGL019W
P16649	sce:YCR084C
P04911	sce:YDR225W
P40368	sce:YJL061W
Q00916	sce:YIL061C
P47093	sce:YJR022W
Q02875	sce:YPL105C
P31244	sce:YBR114W
P40567	sce:YIR009W
P38883	sce:YHR197W
P40070	sce:YER112W
P42073	sce:YDR195W
P22543	sce:YLR240W
P33750	sce:YLL011W
P40957	sce:YGL086W
P40958	sce:YJL030W
P18852	sce:YJR086W
P18851	sce:YOR212W
P20433	sce:YJL140W
P32835	sce:YLR293C
P20676	sce:YOR098C
P13902	sce:YOL108C
P17119	sce:YPR141C
P07270	sce:YFR034C
P06787	sce:YBR109C
P39520	sce:YLR223C
Q06205	sce:YLR449W
P53863	sce:YNL227C
P39723	sce:YAL047C
P25607	sce:YCR101C
P43611	sce:YFR039C
Q05790	sce:YLR213C
Q00955	sce:YNR016C
P32361	sce:YHR079C
P28742	sce:YBL063W
P35191	sce:YFL016C
P12689	sce:YOR346W
P22579	sce:YOL004W
P09547	sce:YPL016W
P33315	sce:YBR117C
P32828	sce:YDL013W
P32639	sce:YER172C
Q99181	sce:YOR319W
P39102	sce:YLR090W
P27705	sce:YGL035C
Q02554	sce:YMR240C
P53236	sce:YGR056W
P25644	sce:YCR077C
P53147	sce:YGL096W
P40438	sce:YIL173W
P48240	sce:YGR158C
P53742	sce:YNR053C
P24384	sce:YER013W
Q12186	sce:YLR116W
P27351	sce:YJR005W
P40467	sce:YIL130W
Q04746	sce:YMR065W
P32909	sce:YBR172C
P36084	sce:YKL074C
P39682	sce:YML046W
Q06488	sce:YLR357W
P21560	sce:YPL215W
Q07350	sce:YDL043C
P32843	sce:YMR302C
P39936	sce:YGL049C
Q03899	sce:YDR131C
Q04195	sce:YDR409W
P36056	sce:YKL155C
Q12431	sce:YLL014W
P11075	sce:YDR170C
P25648	sce:YCR081W
P38187	sce:YBL067C
Q12411	sce:YOL091W
P32522	sce:YLR067C
Q02260	sce:YGR074W
Q02775	sce:YDR088C
P38227	sce:YBR043C
P53090	sce:YGL202W
P34230	sce:YKL188C
P43321	sce:YLR147C
P38927	sce:YIL139C
P23201	sce:YLL021W
P40018	sce:YER029C
P47818	sce:YLR220W
P25588	sce:YCL061C
Q08562	sce:YOR191W
Q12080	sce:YPL146C
P32606	sce:YOR017W
Q01846	sce:YML104C
P50105	sce:YMR005W
P53615	sce:YNL036W
P12954	sce:YJL092W
Q03441	sce:YDL001W
Q04005	sce:YDR184C
