Name	Accession	Name	Accession	Score
RFC4	IPI00017381	RFC3	IPI00031521	2412884.96
PSMA2	IPI00219622	PSMA5	IPI00291922	2344830.08
SNRPD2	IPI00017963	LSM5	IPI00220493	804075.04
LSM7	IPI00007163	LSM2	IPI00032460	804075.04
LSM7	IPI00007163	LSM5	IPI00220493	804075.04
PSMA2	IPI00219622	PSMA3	IPI00419249	781395.04
PSMA5	IPI00291922	PSMA3	IPI00419249	781395.04
SNRPD1	IPI00302850	SNRPD3	IPI00017964	781395.04
SNRPD3	IPI00017964	LSM5	IPI00220493	781395.04
LSM3	IPI00219229	LSM5	IPI00220493	629595
F2	IPI00019568	F10	IPI00019576	567567.52
FGA	IPI00021885	FGB	IPI00298497	538277.52
PSMA2	IPI00219622	PSMA4	IPI00299155	474750
PSMA4	IPI00299155	PSMA5	IPI00291922	474750
PSMA7	IPI00024175	PSMA2	IPI00219622	376645
PSMA7	IPI00024175	PSMA5	IPI00291922	376645
PSMA6	IPI00029623	PSMA3	IPI00419249	376645
LSM6	IPI00001146	LSM5	IPI00220493	376645
SNRPD2	IPI00017963	LSM2	IPI00032460	376645
LSM7	IPI00007163	LSM4	IPI00294955	376645
SNRPD1	IPI00302850	LSM2	IPI00032460	366022.48
SNRPD3	IPI00017964	LSM2	IPI00032460	366022.48
PSMA5	IPI00291922	PSMB7	IPI00003217	310820
MCM3	IPI00013214	MCM4	IPI00018349	296545
MCM3	IPI00013214	MCM2	IPI00184330	296545
MCM4	IPI00018349	MCM2	IPI00184330	296545
LSM2	IPI00032460	LSM5	IPI00220493	294915
SNRPG	IPI00016572	SNRPD3	IPI00017964	247682.76
JAK2	IPI00031016	CSF1R	IPI00011218	243151
JAK2	IPI00031016	STAT5A	IPI00030783	239470.24
FYN	IPI00219012	PDGFRB	IPI00015902	232032.24
F2	IPI00019568	PLG	IPI00019580	189137.5
PSMB1	IPI00025019	PSMB7	IPI00003217	188844
LSM1	IPI00004436	LSM4	IPI00294955	183895.5
JAK2	IPI00031016	STAT5B	IPI00103415	179501
LSM3	IPI00219229	LSM2	IPI00032460	178336
PSMA7	IPI00024175	PSMA6	IPI00029623	158206.25
PSMA4	IPI00299155	PSMA3	IPI00419249	158206.25
RFC4	IPI00017381	RFC5	IPI00031514	158206.25
RFC5	IPI00031514	RFC3	IPI00031521	158206.25
SNRPF	IPI00220528	SNRPD1	IPI00302850	158206.25
SNRPF	IPI00220528	SNRPD3	IPI00017964	158206.25
SNRPG	IPI00016572	SNRPD2	IPI00017963	158206.25
SNRPG	IPI00016572	LSM5	IPI00220493	158206.25
LSM3	IPI00219229	LSM7	IPI00007163	158206.25
LSM6	IPI00001146	SNRPD3	IPI00017964	158206.25
SNRPD2	IPI00017963	LSM7	IPI00007163	158206.25
LSM2	IPI00032460	LSM4	IPI00294955	158206.25
PSMB3	IPI00028004	PSMB7	IPI00003217	149820.75
JAK2	IPI00031016	ZAP70	IPI00329789	148835.25
PDGFRB	IPI00015902	STAT5A	IPI00030783	137499.25
LSM1	IPI00004436	LSM2	IPI00032460	135756.75
JAK2	IPI00031016	FYN	IPI00219012	128979.75
FYN	IPI00219012	STAT5A	IPI00030783	128979.75
FYN	IPI00219012	TEC	IPI00000878	128979.75
PDGFRB	IPI00015902	CRKL	IPI00004839	122915.75
PDGFRB	IPI00015902	PDGFRA	IPI00027721	121942.5
FYN	IPI00219012	FLT1	IPI00018335	121054.25
STAT5A	IPI00030783	ZAP70	IPI00329789	118853.5
RAF1	IPI00021786	MAP2K2	IPI00003783	114868
KIT	IPI00022296	STAT5A	IPI00030783	111563.25
ZAP70	IPI00329789	STAT5B	IPI00103415	108799.25
MCM2	IPI00184330	CDC6	IPI00014575	98821.5
STAT5A	IPI00030783	CRKL	IPI00004839	98458.25
JAK2	IPI00031016	STAT1	IPI00030781	96680
FYN	IPI00219012	KIT	IPI00022296	96680
FYN	IPI00219012	PDGFRA	IPI00027721	96680
FYN	IPI00219012	STAT5B	IPI00103415	96680
PDGFRB	IPI00015902	GRB2	IPI00021327	96680
STAT1	IPI00030781	TEC	IPI00000878	96680
STAT1	IPI00030781	ZAP70	IPI00329789	96680
STAT5A	IPI00030783	STAT5B	IPI00103415	93783.5
KIT	IPI00022296	CRKL	IPI00004839	89045.25
F2	IPI00019568	F9	IPI00296176	88596
F9	IPI00296176	PLG	IPI00019580	88596
LSM8	IPI00219871	LSM2	IPI00032460	87847.25
TAGLN2	IPI00550363	ACTG1	IPI00021439	86230.5
PDGFRB	IPI00015902	STAT5B	IPI00103415	85263
BRAF	IPI00303797	MAP2K2	IPI00003783	84798.75
JAK2	IPI00031016	TEC	IPI00000878	84788.75
SNRPG	IPI00016572	LSM4	IPI00294955	82538.25
FYN	IPI00219012	ZAP70	IPI00329789	78177.25
PSMA7	IPI00024175	PSMA4	IPI00299155	74107
PSMA7	IPI00024175	PSMA3	IPI00419249	74107
LSM1	IPI00004436	LSM3	IPI00219229	74107
PSMA4	IPI00299155	PSMA6	IPI00029623	74107
PSMA5	IPI00291922	PSMA6	IPI00029623	74107
LSM3	IPI00219229	LSM6	IPI00001146	74107
LSM3	IPI00219229	LSM4	IPI00294955	74107
LSM6	IPI00001146	SNRPD2	IPI00017963	74107
LSM6	IPI00001146	LSM7	IPI00007163	74107
LSM6	IPI00001146	LSM2	IPI00032460	74107
LSM6	IPI00001146	LSM4	IPI00294955	74107
SNRPD2	IPI00017963	LSM4	IPI00294955	74107
SNRPD3	IPI00017964	LSM4	IPI00294955	74107
LSM5	IPI00220493	LSM4	IPI00294955	74107
RFC2	IPI00017412	RFC5	IPI00031514	73119.25
CHMP4C	IPI00060414	CHMP6	IPI00305423	73119.25
CHMP4C	IPI00060414	CHMP4A	IPI00023068	73119.25
CHMP4B	IPI00025974	CHMP4A	IPI00023068	73119.25
PIK3R2	IPI00011736	PDGFRB	IPI00015902	72128.5
PDGFRB	IPI00015902	FGR	IPI00016871	64501
PDGFRB	IPI00015902	VAV1	IPI00011696	64501
PDGFRA	IPI00027721	CRKL	IPI00004839	64501
JAK2	IPI00031016	INSR	IPI00025803	63555.5
INSR	IPI00025803	STAT5A	IPI00030783	63555.5
INSR	IPI00025803	CRKL	IPI00004839	63555.5
PDGFRB	IPI00015902	TEC	IPI00000878	63555.5
PDGFRB	IPI00015902	FRK	IPI00000885	63555.5
CBL	IPI00027269	ZAP70	IPI00329789	63555.5
PSMB1	IPI00025019	PSMA5	IPI00291922	62930.75
PSMB1	IPI00025019	PSMB2	IPI00028006	62930.75
PSMA5	IPI00291922	PSMB2	IPI00028006	62930.75
PSMB6	IPI00000811	PSMB7	IPI00003217	62930.75
PSMB2	IPI00028006	PSMB7	IPI00003217	62930.75
PSMA6	IPI00029623	PSMB7	IPI00003217	62930.75
WASPIP	IPI00552369	WAS	IPI00001545	59897.75
PSMC2	IPI00021435	PSMC1	IPI00011126	59897.75
FYN	IPI00219012	CSF1R	IPI00011218	58599.75
PIK3R2	IPI00011736	CSF1R	IPI00011218	57291.5
NCK2	IPI00306531	PDGFRA	IPI00027721	57291.5
JAK2	IPI00031016	PDGFRB	IPI00015902	57291.5
HCK	IPI00029769	PDGFRB	IPI00015902	57291.5
PDGFRA	IPI00027721	STAT5A	IPI00030783	57291.5
PIK3R2	IPI00011736	INSR	IPI00025803	53972.25
CSF1R	IPI00011218	CRKL	IPI00004839	53972.25
F9	IPI00296176	F10	IPI00019576	53574
CSF1R	IPI00011218	STAT1	IPI00030781	53250
PDGFRB	IPI00015902	STAT1	IPI00030781	53250
KIT	IPI00022296	STAT5B	IPI00103415	49044.75
FLT1	IPI00018335	CBL	IPI00027269	49044.75
MCM3	IPI00013214	MCM5	IPI00018350	47875
MCM3	IPI00013214	MCM7	IPI00299904	47875
MCM3	IPI00013214	MCM6	IPI00031517	47875
MCM5	IPI00018350	MCM2	IPI00184330	47875
MCM7	IPI00299904	MCM2	IPI00184330	47875
LSM8	IPI00219871	SNRPF	IPI00220528	47125.25
SNRPF	IPI00220528	LSM7	IPI00007163	47125.25
SNRPD3	IPI00017964	LSM7	IPI00007163	47125.25
STAT1	IPI00030781	STAT5B	IPI00103415	45673
CHMP2A	IPI00004416	CHMP4A	IPI00023068	44917.75
EIF3S10	IPI00029012	EIF3S8	IPI00016910	44917.75
LSM1	IPI00004436	LSM7	IPI00007163	44812.75
LSM1	IPI00004436	LSM5	IPI00220493	44812.75
PSMA2	IPI00219622	PSMA6	IPI00029623	44812.75
CHMP4C	IPI00060414	CHMP4B	IPI00025974	44319
ACTG1	IPI00021439	ACTB	IPI00021440	42779.25
PDGFRB	IPI00015902	FLT1	IPI00018335	42066.25
INSR	IPI00025803	STAT5B	IPI00103415	39727.25
EIF2S1	IPI00219678	EIF2S2	IPI00021728	39309
CHMP4C	IPI00060414	VPS24	IPI00100673	38835.5
SNRPD1	IPI00302850	LSM4	IPI00294955	38662.75
NCK2	IPI00306531	KIT	IPI00022296	37630.25
VAMP2	IPI00553138	STX1A	IPI00003370	36796.5
LSM1	IPI00004436	LSM6	IPI00001146	36182.5
HIST1H3A	IPI00465070	H3F3A	IPI00219038	35566.5
PDGFRA	IPI00027721	STAT5B	IPI00103415	35526.25
MAPK3	IPI00018195	MAPK1	IPI00003479	35038.5
NCK2	IPI00306531	EPHB4	IPI00289342	34725.5
PDGFRB	IPI00015902	NCK1	IPI00028065	34725.5
PDGFRB	IPI00015902	SHC3	IPI00409679	33830.5
FLT1	IPI00018335	GRAP	IPI00013864	33830.5
STAT6	IPI00030782	STAT5A	IPI00030783	33731
TEC	IPI00000878	ZAP70	IPI00329789	33727
PDGFRB	IPI00015902	CBL	IPI00027269	31555.25
VAV1	IPI00011696	WAS	IPI00001545	31074.25
PDGFRB	IPI00015902	GRAP	IPI00013864	30496.25
STAT1	IPI00030781	STAT5A	IPI00030783	30108.25
VAMP2	IPI00553138	STX12	IPI00329332	29710.25
PSMB1	IPI00025019	PSMB6	IPI00000811	29478
PSMA5	IPI00291922	PSMB6	IPI00000811	29478
PSMB6	IPI00000811	PSMB2	IPI00028006	29478
PSMB3	IPI00028004	PSMB2	IPI00028006	29478
SNAP23	IPI00010438	VAMP4	IPI00299667	29336.25
SNAP23	IPI00010438	STX1A	IPI00003370	29336.25
KIT	IPI00022296	FLT1	IPI00018335	29206.75
SNRPF	IPI00220528	LSM5	IPI00220493	28563.5
WAS	IPI00001545	ACTG1	IPI00021439	28057.5
EIF2S1	IPI00219678	EIF2B5	IPI00011898	27991.75
ERBB3	IPI00298285	STAT1	IPI00030781	27781.25
ACTG1	IPI00021439	CFL2	IPI00413344	27683.5
PLG	IPI00019580	FGA	IPI00021885	26508
RAF1	IPI00021786	YWHAB	IPI00216318	26508
PTPN2	IPI00219695	STAT5A	IPI00030783	25807
CSF1R	IPI00011218	PDGFRB	IPI00015902	25735.25
CSF1R	IPI00011218	FLT1	IPI00018335	25735.25
PDGFRB	IPI00015902	KIT	IPI00022296	25735.25
BRAF	IPI00303797	MAPK3	IPI00018195	24798.925
EPHA1	IPI00294250	EPHA2	IPI00021267	24798.925
FLT1	IPI00018335	SHC3	IPI00409679	24728.55
XPO1	IPI00298961	RAN	IPI00643041	24150.15
EIF3S9	IPI00396370	EIF3S8	IPI00016910	23913.675
VPS4B	IPI00182728	CHMP4A	IPI00023068	23857
SNAP25	IPI00010470	VAMP2	IPI00553138	23857
HCLS1	IPI00026156	VAV1	IPI00011696	23692.4
TBP	IPI00022831	TAF9	IPI00002993	22967.8
PDGFRB	IPI00015902	STAT6	IPI00030782	22789.175
WASL	IPI00011676	WASPIP	IPI00552369	20653.275
FYN	IPI00219012	SH3KBP1	IPI00294962	20424.2
VPS4B	IPI00182728	CHMP4C	IPI00060414	20261
VPS4B	IPI00182728	CHMP4B	IPI00025974	20261
CSE1L	IPI00022744	RAN	IPI00643041	20205.2
KPNB1	IPI00001639	RAN	IPI00643041	20205.2
WASPIP	IPI00552369	NCK1	IPI00028065	19848.575
JUNB	IPI00013439	JUND	IPI00289547	19432.5
FRS3	IPI00009089	PDGFRB	IPI00015902	19253.4
RAF1	IPI00021786	MAPK3	IPI00018195	18822.9
PDGFRB	IPI00015902	KDR	IPI00021396	18822.9
FLT1	IPI00018335	KDR	IPI00021396	18822.9
EPHB2	IPI00021275	EPHB4	IPI00289342	18822.9
EPHB2	IPI00021275	EPHB1	IPI00008315	18822.9
TAF6	IPI00028579	TAF9	IPI00002993	18544.575
TAF12	IPI00002806	TAF9	IPI00002993	18544.575
STAT1	IPI00030781	STAT6	IPI00030782	18249.2
WASL	IPI00011676	ACTG1	IPI00021439	18198.5
PSMB2	IPI00028006	PSMA6	IPI00029623	17825.425
FIGF	IPI00004653	FLT1	IPI00018335	17702.8
FGA	IPI00021885	FGG	IPI00021891	16311.8
FGB	IPI00298497	FGG	IPI00021891	16311.8
INSR	IPI00025803	PTPN2	IPI00219695	16311.8
CSF1R	IPI00011218	EPHA8	IPI00021274	16311.8
EPHA1	IPI00294250	EPHA8	IPI00021274	16311.8
EPHA2	IPI00021267	EPHA8	IPI00021274	16311.8
EPHA8	IPI00021274	EPHB1	IPI00008315	16311.8
EPHA8	IPI00021274	EPHA4	IPI00008318	16311.8
EPHA8	IPI00021274	EPHA7	IPI00016645	16311.8
CCNB2	IPI00028266	MCM3	IPI00013214	15954
CCNB2	IPI00028266	CDC6	IPI00014575	15954
RPA1	IPI00020127	MCM5	IPI00018350	15954
RPA1	IPI00020127	MCM2	IPI00184330	15954
MCM4	IPI00018349	MCM7	IPI00299904	15954
MCM4	IPI00018349	MCM6	IPI00031517	15954
MCM5	IPI00018350	MCM7	IPI00299904	15954
MCM5	IPI00018350	MCM6	IPI00031517	15954
MCM7	IPI00299904	CDC6	IPI00014575	15954
WAS	IPI00001545	ACTG1	IPI00005159	15954
MCM2	IPI00184330	MCM6	IPI00031517	15954
PSMA2	IPI00219622	PLK1	IPI00021248	15865.45
FYN	IPI00219012	GRAP	IPI00013864	15828.25
GNAO1	IPI00220281	SSTR2	IPI00027807	15828.25
CBL	IPI00027269	KDR	IPI00021396	15802.575
MBD3	IPI00439194	HDAC1	IPI00013774	15800.25
STAT5B	IPI00103415	CREBBP	IPI00023339	15540.25
NCK2	IPI00306531	CRKL	IPI00004839	15031.15
EPHA2	IPI00021267	EPHB1	IPI00008315	15023.675
EPHB1	IPI00008315	EPHA4	IPI00008318	15023.675
