From	To
P03204	vg:3783763
P63079	rno:24922
Q05519	hsa:9295
P03393	vg:1491889
Q13239	hsa:6503
Q62824	rno:116654
P62149	gga:395855
P62149	gga:396523
P06241	hsa:2534
P31750	mmu:11651
P15692	hsa:7422
Q12165	sce:YDL004W
P25205	hsa:4172
P30153	hsa:5518
O75400	hsa:55660
Q28177	bta:281645
P13405	mmu:19645
Q04207	mmu:19697
Q13546	hsa:8737
P07360	hsa:733
Q99104	mmu:17918
Q9UM11	hsa:51343
P49458	hsa:6726
P22455	hsa:2264
P24864	hsa:898
P62960	mmu:22608
P35367	hsa:3269
P05549	hsa:7020
P41274	mmu:21950
P35917	mmu:14257
Q14192	hsa:2274
P40303	sce:YOL038W
P09693	hsa:917
P07203	hsa:2876
Q83P70	sfl:SF4206
Q9UIS9	hsa:4152
P01732	hsa:925
P04275	hsa:7450
Q4GWZ2	ssc:641351
P00830	sce:YJR121W
P0C1H5	gga:107053803
P15976	hsa:2623
P41391	spo:SPAC22E12.07
P50540	mmu:17859
P23638	sce:YGR135W
P14923	hsa:3728
Q2YDE4	bta:507213
P06729	hsa:914
O35551	mmu:54189
P61585	bta:338049
P42702	hsa:3977
P57776	mmu:66656
Q9R0M6	mmu:56382
P01583	hsa:3552
Q9Y6K9	hsa:8517
P0CH08	sce:YIL148W
P0CH08	sce:YKR094C
Q8CIN4	mmu:224105
Q16513	hsa:5586
O35182	mmu:17130
O15197	hsa:2051
P0A6F3	ecj:JW3897
P0A6F3	eco:b3926
Q01105	hsa:6418
P48995	hsa:7220
P49116	hsa:7182
P14373	hsa:5987
Q9H840	hsa:79760
P09603	hsa:1435
P10242	hsa:4602
P13236	hsa:388372
P13236	hsa:6351
P02340	mmu:22059
P68873	ptr:450978
Q08745	sce:YOR293W
Q8K1S4	mmu:107448
P25815	hsa:6286
P18653	mmu:20111
Q15819	hsa:7336
Q13547	hsa:3065
P26368	hsa:11338
O75643	hsa:23020
P25206	mmu:17215
B7LHT3	eck:EC55989_3638
P02751	hsa:2335
Q9Z1P2	rno:81634
O55003	mmu:12176
Q9VEN9	dme:Dmel_CG5208
P63092	hsa:2778
Q9MY13	hsa:3123
P07256	sce:YBL045C
P11914	sce:YHR024C
Q9H816	hsa:64858
Q14185	hsa:1793
P12956	hsa:2547
Q8BFW7	mmu:210126
P01132	mmu:13645
P10398	hsa:369
P27038	mmu:11480
Q5QM99	osa:4325282
Q5QM99	osa:4339573
Q07666	hsa:10657
D3GXV8	elo:EC042_3509
Q07889	hsa:6654
P0A3Y1	ana:asl4754
P01116	hsa:3845
P68369	mmu:22142
O30142	afu:AF_0094
P15514	hsa:374
Q8RQE7	ttj:TTHA1561
Q980B8	sso:SSO0396
P03303	vg:1461213
P27040	mmu:11481
Q15544	hsa:6882
Q02242	mmu:18566
O96020	hsa:9134
P52205	bta:281465
P0A420	tel:tll1724
Q13330	hsa:9112
P61765	rno:25558
P15207	rno:24208
Q8VHG2	mmu:27494
Q02061	spo:SPAC23G3.01
P49736	hsa:4171
P24385	hsa:595
Q6H3X3	hsa:353091
Q9NW38	hsa:55120
P35548	hsa:4488
Q84U30	pvu:PHAVU_002G269400g
Q9UBU3	hsa:51738
Q9SRH5	ath:AT3G01280
P10664	sce:YBR031W
Q62432	mmu:17126
Q15751	hsa:8925
Q9H6S3	hsa:64787
Q9NRA1	hsa:56034
Q97ZX7	sso:SSO5865
P54921	rno:140673
P54282	rno:25398
O60683	hsa:5192
