p1,p2,score
YFR001W,YKL130C,0.660028449502134
YAL032C,YPL151C,0.999996386703485
YDL229W,YML062C,0.890653121584812
YBL016W,YER114C,0.852119274942154
YDR510W,YOR316C,0.53606884449893
YAL025C,YML065W,0.53606884449893
YDL007W,YLR421C,0.957795592557016
YNL116W,YPL022W,0.721967550772767
YFL002C,YKL023W,0.53606884449893
YDL058W,YPL106C,0.890653121584812
YDL014W,YDR471W,0.54847104749512
YDL002C,YML065W,0.53606884449893
YBR109C,YKL175W,0.525804493017608
YDR108W,YGR234W,0.786182747552049
YJL178C,YLR026C,0.823939570017432
YMR024W,YOR150W,0.836115707810694
YHR200W,YNL096C,0.53606884449893
YLR429W,YPR171W,0.836115707810694
YDL063C,YDR381W,0.786182747552049
YNL113W,YOR210W,0.921706009057121
YBR081C,YDR171W,0.764303653422268
YHR089C,YPL012W,0.904042231253866
YMR125W,YNL139C,0.918403257868933
Q0250,YBL030C,0.999915412240163
YBL002W,YPR175W,0.873774047657518
YMR192W,YPL249C,0.999999876977374
YER157W,YML071C,0.990916256037435
YJL187C,YOR023C,0.852119274942154
YER007W,YFR028C,0.53606884449893
YCR084C,YDL246C,0.703072689507346
YDR388W,YFR004W,0.53606884449893
YBR017C,YNL169C,0.721967550772767
YAL038W,YIR010W,0.667047013899172
YBR177C,YJL151C,0.703072689507346
YJL054W,YJL104W,0.660028449502134
YIL125W,YMR235C,0.852119274942154
YCR009C,YMR192W,0.96268709724236
YDR480W,YLR304C,0.852119274942154
YCR046C,YPR100W,0.543969950236887
YGL030W,YJL177W,0.921706009057121
YBR194W,YLR275W,0.669323604690042
YDL116W,YLR018C,0.53606884449893
YGR209C,YKL069W,0.682167453566882
YBR146W,YNR037C,0.836115707810694
YHR016C,YPR055W,0.893883689230434
YDL140C,YMR236W,0.764303653422268
YAR023C,YDL217C,0.501079807013215
YDL182W,YOR117W,0.53606884449893
YDR155C,YJL072C,0.584984984984985
YJR010C-A,YML048W,0.525943141173112
YEL011W,YLL039C,0.53606884449893
YER179W,YPL235W,0.852119274942154
YGR286C,YMR070W,0.682167453566882
YDR266C,YLL039C,0.784767882955442
YHR088W,YPL211W,0.957795592557016
YAL010C,YHR083W,0.999996503073987
YML124C,YOR259C,0.54847104749512
YDR320C,YGR155W,0.890653121584812
YDL216C,YOL117W,0.99655625784908
YDL126C,YIR033W,0.660028449502134
YIL156W,YKL129C,0.975254256285084
YKL014C,YMR049C,0.790521651322224
YGR074W,YPR082C,0.921706009057121
YBL023C,YLR291C,0.682167453566882
YDR477W,YGL253W,0.884419344852077
YHR013C,YNR051C,0.753242918792004
YDR338C,YLL039C,0.53606884449893
YAL022C,YDR497C,0.501079807013215
YMR049C,YOR272W,0.999999950484701
YDR448W,YPL181W,0.660028449502134
YHR027C,YML086C,0.53606884449893
YBR193C,YOR174W,0.999555241866107
YMR146C,YNL255C,0.53606884449893
YGR167W,YOR231W,0.525804493017608
YMR236W,YMR242C,0.832002620755503
YLL039C,YOL018C,0.53606884449893
YCR060W,YPL240C,0.999428708374654
YJL177W,YOR204W,0.790521651322224
YJR064W,YKR036C,0.852119274942154
YGL213C,YGR008C,0.703072689507346
YFL039C,YGR002C,0.953679750672903
YMR190C,YMR224C,0.960705865461801
YBR233W-A,YGR113W,0.572578046526374
YBR202W,YJL194W,0.989006539012321
YDR457W,YGR052W,0.852119274942154
YDR080W,YPL195W,0.99235896677406
YKR068C,YPL240C,0.819221791056642
YBR135W,YBR160W,0.999999999604331
YJL179W,YNL153C,0.991438796491729
YDR510W,YKR062W,0.784767882955442
YOR117W,YOR341W,0.53606884449893
