Method, GldStd, PPIN, Predicts, Refs, Precision, Recall, F1-score, F2-score, AUC-PR, MMR, Sensitivity, PPP, Accuracy, F-Match, Separation
PC2P,CYC,Collins,209,408,0.9043062200956937,0.5318627450980392,0.6697913689625608,0.38070793872545033,0.3464899632193946,0.41450278287374487,0.6401041666666667,0.7399209486166007,0.6882052616868304,0.5808823529411765,0.6733018808397374
CUBCO+,CYC,Collins,5000,408,0.7794,0.9215686274509803,0.8445430170122215,0.596252243160649,0.6224788594844786,0.8461419753856719,0.8875,0.7014399332204884,0.789004398424485,0.9387254901960784,0.20491603967441052
ClusterOne,CYC,Collins,125,408,0.968,0.36764705882352944,0.5328987932705012,0.27335366542415007,0.25652463626921557,0.2523341116507138,0.5625,0.6945812807881774,0.6250615733216607,0.39950980392156865,0.504691903192465
PC2P,CYC,Gavin,183,408,0.8852459016393442,0.46078431372549017,0.6060895522388059,0.3338704903476173,0.31079085095855274,0.3550831327803789,0.5291666666666667,0.7618613138686131,0.6349422114823845,0.49264705882352944,0.612734345733419
CUBCO+,CYC,Gavin,5053,408,0.7789432020581832,0.9215686274509803,0.8442747708379447,0.5961853765516596,0.6172314157883521,0.8465564794225807,0.8875,0.7017531813604321,0.7891805550426236,0.9387254901960784,0.20385721836242474
ClusterOne,CYC,Gavin,114,408,0.8947368421052632,0.2867647058823529,0.4343268915820504,0.215592228274124,0.22699598227206247,0.2157202072005273,0.43020833333333336,0.7358309317963496,0.5626371821904603,0.3161764705882353,0.4498749551359345
PC2P,CYC,KroganCore,219,408,0.8447488584474886,0.5073529411764706,0.6339549551786645,0.3623563809780641,0.325659434978668,0.4178745453554395,0.5395833333333333,0.7515527950310559,0.636808732916596,0.5686274509803921,0.661887709950295
CUBCO+,CYC,KroganCore,5099,408,0.7779956854285154,0.9215686274509803,0.8437178994049369,0.5960464755705949,0.6112382516611411,0.8465564794225807,0.8875,0.7011673679923985,0.7888510880345249,0.9387254901960784,0.2029125584390701
ClusterOne,CYC,KroganCore,132,408,0.8560606060606061,0.33088235294117646,0.4772855265627933,0.2457115245228316,0.20619040982811837,0.24195165919050945,0.45989583333333334,0.7015355086372361,0.568008149023978,0.39215686274509803,0.4826284743229537
PC2P,CYC,KroganExt,225,408,0.8577777777777778,0.5294117647058824,0.6547304937806258,0.37699403147042865,0.32045043963430125,0.4302945313031185,0.5666666666666667,0.7437874892887746,0.6492145849129076,0.5980392156862745,0.6753904147644895
CUBCO+,CYC,KroganExt,5151,408,0.7775189283634246,0.9215686274509803,0.843437466394236,0.5959764819863033,0.614281267635695,0.8471692245206199,0.8875,0.7005832793259883,0.788522453961721,0.9387254901960784,0.20187505034890044
ClusterOne,CYC,KroganExt,133,408,0.8646616541353384,0.3284313725490196,0.4760433721540885,0.2441942461433631,0.20632344652109227,0.24418407050596574,0.46510416666666665,0.6823008849557523,0.5633302623801373,0.39215686274509803,0.47918114597224326
PC2P,CYC,BIM,307,408,0.9511400651465798,0.8308823529411765,0.8869534830584788,0.5658453768686951,0.6580853466386237,0.6758694245294276,0.9260416666666667,0.7521978021978022,0.8346055993163816,0.9068627450980392,0.8290169887512387
CUBCO+,CYC,BIM,5252,408,0.7806549885757806,0.9215686274509803,0.8452792448195392,0.5964356239515175,0.674507907904197,0.8471692245206199,0.8875,0.7008711219789097,0.7886844240609056,0.9387254901960784,0.19993085334069063
ClusterOne,CYC,BIM,209,408,0.9521531100478469,0.5955882352941176,0.7327983997454139,0.4234904662756405,0.45504573230498147,0.4497041556733898,0.8359375,0.6864224137931034,0.7574999911090247,0.6862745098039216,0.6460513995886064
PC2P,SGD,Collins,168,306,0.8214285714285714,0.5294117647058824,0.6438569206842923,0.3751699139102855,0.3594332297704071,0.40744710673818907,0.5640436530729466,0.6383363471971067,0.6000413028803074,0.6241830065359477,0.6480992304974384
CUBCO+,SGD,Collins,5289,306,0.6398184912081679,0.8235294117647058,0.7201422773496283,0.5239461853652062,0.558949038690333,0.7681245545603032,0.8150488225157955,0.5730269058295964,0.6834068370058074,0.9281045751633987,0.15409974316003183
ClusterOne,SGD,Collins,108,306,0.8981481481481481,0.3790849673202614,0.5331438047855959,0.2796604903751755,0.29760848192679346,0.28374239773713794,0.49511774842044803,0.6179337231968811,0.5531274298950506,0.434640522875817,0.5112005100521464
PC2P,SGD,Gavin,141,306,0.8439716312056738,0.4542483660130719,0.5906128934354525,0.32808215442135374,0.30038930898356647,0.3449021635444162,0.49167145318782307,0.6621761658031088,0.5705901486239973,0.5196078431372549,0.5949336079808464
CUBCO+,SGD,Gavin,5335,306,0.6417994376757263,0.8235294117647058,0.7213953558368071,0.5242774724523555,0.525806791871348,0.7681245545603032,0.8150488225157955,0.5730031206427196,0.6833926534414347,0.9281045751633987,0.1534293469193036
