Method, GldStd, PPIN, Predicts, Refs, Precision, Recall, F1-score, F2-score, AUC-PR, MMR, Sensitivity, PPP, Accuracy, F-Match, Separation
P5COMP,CYC,Collins,1122,408,0.6720142602495544,0.6299019607843137,0.6502770199299984,0.42436685401809127,0.29142315987243367,0.5724484892518258,0.7432291666666667,0.6608845491097071,0.700848537629696,0.6446078431372549,0.28839600206528054
PC2P,CYC,Collins,209,408,0.9043062200956937,0.5318627450980392,0.6697913689625608,0.38070793872545033,0.34197534832754606,0.4129621666272462,0.6401041666666667,0.7383399209486166,0.687469606466749,0.5833333333333334,0.6726577492829489
CUBCO+,CYC,Collins,6909,408,0.7925893761760023,0.9215686274509803,0.8522265765340672,0.5981559499925339,0.642240800841564,0.8494137120592251,0.8885416666666667,0.7018387872721695,0.7896917156549925,0.9387254901960784,0.17270307301513188
ClusterOne,CYC,Collins,125,408,0.968,0.36764705882352944,0.5328987932705012,0.27335366542415007,0.25652463626921557,0.2523341116507138,0.5625,0.6945812807881774,0.6250615733216607,0.39950980392156865,0.504691903192465
P5COMP,CYC,Gavin,961,408,0.6566077003121749,0.5318627450980392,0.5876884449070249,0.36616955602339124,0.28563647115673085,0.4841860916599974,0.6885416666666667,0.6722138862365298,0.6803287952055075,0.5490196078431373,0.2630421108599857
PC2P,CYC,Gavin,183,408,0.8852459016393442,0.46078431372549017,0.6060895522388059,0.3338704903476173,0.31079085095855274,0.3560022504274377,0.5286458333333334,0.7627737226277372,0.6350095670486462,0.4950980392156863,0.6129403016863963
CUBCO+,CYC,Gavin,6944,408,0.7934907834101382,0.9215686274509803,0.8527473830135435,0.5982841809430188,0.6404699575672309,0.8494137120592251,0.8885416666666667,0.7026501141736082,0.7901480263414833,0.9387254901960784,0.17227085722007152
ClusterOne,CYC,Gavin,114,408,0.8947368421052632,0.2867647058823529,0.4343268915820504,0.215592228274124,0.22699598227206247,0.2157202072005273,0.43020833333333336,0.7358309317963496,0.5626371821904603,0.3161764705882353,0.4498749551359345
P5COMP,CYC,KroganCore,1087,408,0.6743330266789328,0.6323529411764706,0.6526686338458353,0.4259885593034217,0.2986864462870905,0.5780681512098055,0.7348958333333333,0.6664055359707534,0.6998132977410285,0.6519607843137255,0.2918124212730006
PC2P,CYC,KroganCore,219,408,0.8447488584474886,0.5073529411764706,0.6339549551786645,0.3623563809780641,0.325659434978668,0.4178745453554395,0.5395833333333333,0.7515527950310559,0.636808732916596,0.5686274509803921,0.661887709950295
CUBCO+,CYC,KroganCore,6953,408,0.7937580900330793,0.9215686274509803,0.8529017196593562,0.5983221615836359,0.6374252379478026,0.8494137120592251,0.8885416666666667,0.7028777094011601,0.7902759843081124,0.9387254901960784,0.17216067555476655
ClusterOne,CYC,KroganCore,132,408,0.8560606060606061,0.33088235294117646,0.4772855265627933,0.2457115245228316,0.20619040982811837,0.24195165919050945,0.45989583333333334,0.7015355086372361,0.568008149023978,0.39215686274509803,0.4826284743229537
P5COMP,CYC,KroganExt,1116,408,0.6836917562724014,0.6519607843137255,0.6674493554327808,0.43802876480541447,0.31555853874674383,0.5937690148886103,0.7411458333333333,0.6490230027207519,0.6935565544380458,0.6666666666666666,0.29445139100869017
PC2P,CYC,KroganExt,225,408,0.8533333333333334,0.5269607843137255,0.6515614271846959,0.3752258240447217,0.3219878026648218,0.4306213286887394,0.5661458333333333,0.7437874892887746,0.6489161640353097,0.5955882352941176,0.6748796243653349
CUBCO+,CYC,KroganExt,6964,408,0.7940838598506605,0.9215686274509803,0.8530897465774333,0.5983684209920469,0.6396534307743301,0.8494137120592251,0.8885416666666667,0.7031638762701253,0.7904368428665575,0.9387254901960784,0.1720258894098779
ClusterOne,CYC,KroganExt,133,408,0.8646616541353384,0.3284313725490196,0.4760433721540885,0.2441942461433631,0.20632344652109227,0.24418407050596574,0.46510416666666665,0.6823008849557523,0.5633302623801373,0.39215686274509803,0.47918114597224326
P5COMP,CYC,BIM,1533,408,0.7110241356816699,0.9338235294117647,0.8073344200436823,0.5916500960047698,0.5125419443245081,0.8803363204897631,0.9526041666666667,0.68594246127201,0.808351190202195,0.9754901960784313,0.3679677379899943
PC2P,CYC,BIM,307,408,0.9511400651465798,0.8308823529411765,0.8869534830584788,0.5658453768686951,0.6580853466386237,0.6758694245294276,0.9260416666666667,0.7521978021978022,0.8346055993163816,0.9068627450980392,0.8290169887512389
CUBCO+,CYC,BIM,7025,408,0.7958718861209965,0.9215686274509803,0.8541204844340143,0.5986217736975191,0.6933152237559862,0.8494137120592251,0.8885416666666667,0.7047455032529659,0.7913253086033766,0.9387254901960784,0.1713212832937456
ClusterOne,CYC,BIM,209,408,0.9521531100478469,0.5955882352941176,0.7327983997454139,0.4234904662756405,0.45504573230498147,0.4497041556733898,0.8359375,0.6864224137931034,0.7574999911090247,0.6862745098039216,0.6460513995886064
P5COMP,SGD,Collins,787,306,0.7179161372299873,0.6274509803921569,0.6696420304079705,0.4272741774440355,0.3276316182543724,0.5841978106242519,0.7254451464675474,0.5675309014169431,0.641648297670362,0.696078431372549,0.29626096058183804
PC2P,SGD,Collins,168,306,0.8214285714285714,0.5294117647058824,0.6438569206842923,0.3751699139102855,0.36175229624692756,0.4085364313569254,0.5640436530729466,0.6383363471971067,0.6000413028803074,0.6241830065359477,0.6480992304974383
CUBCO+,SGD,Collins,7048,306,0.6729568671963677,0.8300653594771242,0.7432999645231448,0.5326514411104167,0.5800321492118197,0.7712060505290109,0.8219414129810454,0.5810838787762967,0.6910983319194859,0.9313725490196079,0.13264586125594352
ClusterOne,SGD,Collins,108,306,0.8981481481481481,0.3790849673202614,0.5331438047855959,0.2796604903751755,0.29760848192679346,0.28374239773713794,0.49511774842044803,0.6179337231968811,0.5531274298950506,0.434640522875817,0.5112005100521464
P5COMP,SGD,Gavin,750,306,0.6453333333333333,0.5294117647058824,0.5816530912004274,0.36383378575903114,0.26159278680654474,0.4948530231646869,0.6668581275129236,0.5618679357525282,0.6121161650744756,0.6013071895424836,0.2551534371319394
PC2P,SGD,Gavin,141,306,0.8439716312056738,0.4542483660130719,0.5906128934354525,0.32808215442135374,0.3000652855293931,0.3449021635444162,0.49167145318782307,0.6621761658031088,0.5705901486239973,0.5196078431372549,0.5949336079808464
CUBCO+,SGD,Gavin,7078,306,0.6743430347555807,0.8300653594771242,0.7441447358325534,0.5328681868318913,0.5517270594275654,0.7712060505290109,0.8219414129810454,0.5820481086570195,0.6916714862219605,0.9313725490196079,0.13237466992225155
ClusterOne,SGD,Gavin,95,306,0.8842105263157894,0.3235294117647059,0.47372468597795436,0.2411745513866232,0.25644459498370614,0.2383956875972761,0.42044801838024126,0.6251378169790518,0.5126772438517163,0.37254901960784315,0.47148652753817727
P5COMP,SGD,KroganCore,762,306,0.7270341207349081,0.6013071895424836,0.6582206552761742,0.41276821470944336,0.2788947773888183,0.5493113877351614,0.697874784606548,0.5573892358013678,0.6236889391971674,0.6666666666666666,0.28682346062827047
PC2P,SGD,KroganCore,164,306,0.8048780487804879,0.4803921568627451,0.6016744186046512,0.3433303253888211,0.300078811620968,0.3883583449705264,0.5221137277426766,0.6361058601134215,0.5762981883216189,0.5849673202614379,0.6225507550684451
CUBCO+,SGD,KroganCore,7086,306,0.6745695738075078,0.8300653594771242,0.7442826474226703,0.5329035412636818,0.5528367454301062,0.7712060505290109,0.8219414129810454,0.5822802872952704,0.6918094261359002,0.9313725490196079,0.13230137138617407
ClusterOne,SGD,KroganCore,108,306,0.8796296296296297,0.3562091503267974,0.5070760491650752,0.26361680732169906,0.25932096437365393,0.2731981230268628,0.462952326249282,0.6217038539553753,0.5364878800371774,0.4215686274509804,0.5010852195782692
P5COMP,SGD,KroganExt,858,306,0.6678321678321678,0.6241830065359477,0.6452702702702702,0.42070484581497797,0.2655878220161844,0.5733343537182666,0.704192992533027,0.5531375166889185,0.6241118194357936,0.696078431372549,0.2787804438111901
