Method, GldStd, PPIN, Predicts, Refs, Precision, Recall, F1-score, F2-score, AUC-PR, MMR, Sensitivity, PPP, Accuracy, F-Match, Separation
P5COMP,CYC2008,Collins,906,408,0.739514348785872,0.6151960784313726,0.6716510306210886,0.4219529972914417,0.3323385581938453,0.5565133304335843,0.7161458333333334,0.6961660857705713,0.706085293454389,0.6299019607843137,0.3242932962185429
P5COMP,CYC2008,Gavin,765,408,0.7359477124183007,0.5171568627450981,0.607451951963469,0.3627447163408872,0.3051397181212309,0.46676910979365555,0.6401041666666667,0.7077151335311572,0.6730612199394272,0.5367647058823529,0.29583122079973045
P5COMP,CYC2008,KroganCore,894,408,0.7393736017897091,0.6225490196078431,0.675950753275197,0.4262578101396622,0.3180009002614032,0.5641183748458974,0.6932291666666667,0.6929025605774188,0.6930658443829731,0.6421568627450981,0.3257780060961001
P5COMP,CYC2008,KroganExt,925,408,0.7427027027027027,0.6421568627450981,0.6887797859354133,0.43798689645522954,0.32870583519274893,0.5804390207513184,0.7046875,0.6819446717957113,0.6932228255806644,0.6593137254901961,0.3302523337016052
P5COMP,CYC2008,BIM,1276,408,0.774294670846395,0.9191176470588235,0.8405134277975145,0.5942213775350638,0.5337331628617151,0.8610516419815567,0.9505208333333334,0.7122823984526112,0.8228239537992568,0.9754901960784313,0.4085143955617122
P5COMP,SGD,Collins,676,306,0.7588757396449705,0.5915032679738562,0.6648170290763029,0.4093840038975097,0.32854972867557486,0.555434312539855,0.6346927053417576,0.5862068965517241,0.6099682295516788,0.6666666666666666,0.3225698104466053
P5COMP,SGD,Gavin,618,306,0.7087378640776699,0.5065359477124183,0.5908153408349215,0.3545493713524735,0.27210235456830406,0.46691603361666023,0.5709362435381964,0.5854145854145855,0.5781300928935235,0.5718954248366013,0.28242627073130083
P5COMP,SGD,KroganCore,663,306,0.755656108597285,0.5751633986928104,0.6531700704460099,0.39933968737050196,0.27462659253452526,0.5254109842403466,0.6145893164847789,0.5882466653779238,0.6012737446447073,0.6470588235294118,0.3112557515046543
P5COMP,SGD,KroganExt,736,306,0.7038043478260869,0.5915032679738562,0.6427856467071615,0.40510890558635326,0.2578225463319264,0.5437613621496882,0.6243538196438828,0.5784110535405872,0.6009435502626749,0.6699346405228758,0.30487067725911116
P5COMP,SGD,BIM,974,306,0.7412731006160165,0.8464052287581699,0.7903583700691887,0.5512400823626344,0.42440211717512993,0.7938248300344644,0.8845491097070649,0.5987245216956358,0.7277370697069533,0.9052287581699346,0.3563155973805894
