Method, GldStd, PPIN, Predicts, Refs, Precision, Recall, F1-score, F2-score, AUC-PR, MMR, Sensitivity, PPP, Accuracy, F-Match, Separation
P5COMP,CYC,Collins,1123,408,0.674087266251113,0.6299019607843137,0.6512460102398961,0.42457298333616134,0.2912080255646347,0.5726118879446362,0.7427083333333333,0.6605136436597111,0.7004063016752714,0.6446078431372549,0.28839540843531875
PC2P,CYC,Collins,191,408,0.8534031413612565,0.45588235294117646,0.5942957953543075,0.3295022904745602,0.2623600636213852,0.3533330304057293,0.6286458333333333,0.6711250983477577,0.6495382950386693,0.5392156862745098,0.625788405707542
CUBCO+,CYC,Collins,6901,408,0.7923489349369657,0.9215686274509803,0.8520875641355072,0.5981217056974306,0.6401875152408826,0.8494137120592251,0.8885416666666667,0.7017067494181536,0.7896174292904478,0.9387254901960784,0.17280709452860982
ClusterOne,CYC,Collins,120,408,0.875,0.3161764705882353,0.4645061728395061,0.23589341692789964,0.20214628324732278,0.21970881383800475,0.5786458333333333,0.6021260440394837,0.5902691983535396,0.3872549019607843,0.47477720153329145
P5COMP,CYC,Gavin,962,408,0.656964656964657,0.5318627450980392,0.5878313795246565,0.3661972959225224,0.2856909282557485,0.48453571680417273,0.6885416666666667,0.6719346049046322,0.6801874541272014,0.5490196078431373,0.2628949073287761
PC2P,CYC,Gavin,154,408,0.7272727272727273,0.31862745098039214,0.44311887515977844,0.2343661971830986,0.17067596954783246,0.23444096557634694,0.5338541666666666,0.6136752136752137,0.5723749381310906,0.41911764705882354,0.5053883568556155
CUBCO+,CYC,Gavin,6933,408,0.7930188951391894,0.9240196078431373,0.8535219300277439,0.5995073921190115,0.636841683270783,0.8506392022553035,0.8890625,0.7022085474491357,0.7901311832325676,0.9411764705882353,0.17229951642520855
ClusterOne,CYC,Gavin,128,408,0.8359375,0.30637254901960786,0.448404183988199,0.22835922827386032,0.1879367918628,0.20427962809512487,0.4791666666666667,0.6459175424413904,0.5563291793112836,0.3627450980392157,0.43366297941746923
P5COMP,CYC,KroganCore,1087,408,0.6743330266789328,0.6372549019607843,0.6552698716141411,0.42876587511389586,0.3003898301219273,0.5774987315227388,0.7359375,0.6665362545644236,0.700377772950788,0.6544117647058824,0.2917490582237497
PC2P,CYC,KroganCore,213,408,0.7370892018779343,0.4215686274509804,0.5363683311484527,0.3026370350446604,0.22446237205012182,0.33835549314390034,0.5286458333333334,0.6745562130177515,0.5971610598163168,0.5147058823529411,0.587774220253963
CUBCO+,CYC,KroganCore,6939,408,0.7929096411586684,0.9240196078431373,0.8534586455492377,0.5994917805044956,0.6307230469498387,0.8506392022553035,0.8890625,0.7022670917463691,0.7901641198230633,0.9411764705882353,0.17221918218530935
ClusterOne,CYC,KroganCore,171,408,0.7192982456140351,0.3161764705882353,0.43926747228105145,0.23250140120668622,0.16879602056661844,0.23818803483368095,0.51875,0.5995777621393384,0.5577015009032895,0.43137254901960786,0.4375084688149881
