Method, GldStd, PPIN, Predicts, Refs, Precision, Recall, F1-score, F2-score, AUC-PR, MMR, Sensitivity, PPP, Accuracy, F-Match, Separation
P5COMP,CYC,Collins,1104,408,0.6947463768115942,0.6299019607843137,0.6607370312269552,0.42657032430069547,0.3007594514180458,0.5736513714175736,0.7432291666666667,0.6341950515921447,0.686550988418889,0.6446078431372549,0.2902984515282596
PC2P,CYC,Collins,209,408,0.9090909090909091,0.5343137254901961,0.6730472368014819,0.3824896920782525,0.34454450977235385,0.41417598548812395,0.640625,0.7399209486166007,0.6884851906232333,0.5833333333333334,0.6738318625003861
CUBCO+,CYC,Collins,7246,408,0.8014076731990063,0.9215686274509803,0.8572981173798803,0.5994003339286802,0.6492686946009651,0.8494137120592251,0.8885416666666667,0.7089717239661186,0.7936944734798114,0.9387254901960784,0.16868933419721868
ClusterOne,CYC,Collins,125,408,0.968,0.36764705882352944,0.5328987932705012,0.27335366542415007,0.25652463626921557,0.2523341116507138,0.5625,0.6945812807881774,0.6250615733216607,0.39950980392156865,0.504691903192465
P5COMP,CYC,Gavin,961,408,0.6576482830385015,0.5294117647058824,0.5866034136028464,0.36479661370232,0.2844911690786384,0.4842881430271872,0.6880208333333333,0.6716621253405994,0.679792273562503,0.5490196078431373,0.26287108939442183
PC2P,CYC,Gavin,183,408,0.8852459016393442,0.46078431372549017,0.6060895522388059,0.3338704903476173,0.31079085095855274,0.3550831327803789,0.5291666666666667,0.7618613138686131,0.6349422114823845,0.49264705882352944,0.612734345733419
CUBCO+,CYC,Gavin,7282,408,0.8022521285361165,0.9215686274509803,0.8577810545520435,0.5995183311462451,0.6472759926196671,0.8494137120592251,0.8885416666666667,0.7097564758802544,0.7941336172245204,0.9387254901960784,0.16827589596399384
ClusterOne,CYC,Gavin,114,408,0.8947368421052632,0.2867647058823529,0.4343268915820504,0.215592228274124,0.22699598227206247,0.2157202072005273,0.43020833333333336,0.7358309317963496,0.5626371821904603,0.3161764705882353,0.4498749551359345
P5COMP,CYC,KroganCore,1087,408,0.6734130634774609,0.6348039215686274,0.653538760645238,0.42728557881872625,0.30031274646445405,0.5777438295619545,0.7354166666666667,0.6668405948343334,0.7002897167966147,0.6519607843137255,0.2917542607732996
PC2P,CYC,KroganCore,219,408,0.8447488584474886,0.5073529411764706,0.6339549551786645,0.3623563809780641,0.325659434978668,0.4178745453554395,0.5395833333333333,0.7515527950310559,0.636808732916596,0.5686274509803921,0.661887709950295
CUBCO+,CYC,KroganCore,7291,408,0.8024962282265807,0.9215686274509803,0.8579205650482469,0.5995524019966402,0.6445876817228786,0.8494137120592251,0.8885416666666667,0.7099769060276818,0.794256925293497,0.9387254901960784,0.1681740824898752
ClusterOne,CYC,KroganCore,132,408,0.8560606060606061,0.33088235294117646,0.4772855265627933,0.2457115245228316,0.20619040982811837,0.24195165919050945,0.45989583333333334,0.7015355086372361,0.568008149023978,0.39215686274509803,0.4826284743229537
P5COMP,CYC,KroganExt,1119,408,0.6845397676496873,0.6544117647058824,0.6691368082172285,0.43949838106857536,0.316197219420141,0.5942616867048115,0.7411458333333333,0.648323301805675,0.6931825977231288,0.6666666666666666,0.2939883306195807
PC2P,CYC,KroganExt,225,408,0.8577777777777778,0.5294117647058824,0.6547304937806258,0.37699403147042865,0.32031960053051367,0.4302945313031185,0.5666666666666667,0.7437874892887746,0.6492145849129076,0.5980392156862745,0.6753904147644895
