p1,p2,score
YMR092C,YNL138W,0.786182747552049
YDL078C,YFL010C,0.579810484329307
YGL135W,YLR276C,0.859922722080967
YEL036C,YGR132C,0.957795592557016
YOL117W,YOL133W,0.584984984984985
YCR035C,YOR001W,0.999237961199079
YCL010C,YHR099W,0.996519979745211
YBR188C,YLR117C,0.999902991582683
YJL014W,YNR051C,0.753242918792004
YDR479C,YEL042W,0.682167453566882
YNL307C,YOL054W,0.852119274942154
YGL222C,YNL118C,0.660028449502134
YLR378C,YOR254C,0.999120454552729
YCR052W,YHR056C,0.957795592557016
YDL140C,YKL130C,0.884419344852077
YER125W,YFL058W,0.739097190149932
YHR203C,YPL090C,0.921706009057121
YKL210W,YMR059W,0.852119274942154
YER151C,YOL120C,0.53606884449893
YER059W,YPL031C,0.999991713058844
YML048W,YOR351C,0.525804493017608
YOL086C,YOR244W,0.824118856508057
YDR394W,YJR109C,0.836115707810694
YDR412W,YPR016C,0.53606884449893
YBL092W,YMR194W,0.921706009057121
YBR072W,YGL112C,0.669323604690042
YHR041C,YIL021W,0.823939570017432
YCL010C,YGL262W,0.703072689507346
YML051W,YOR355W,0.682167453566882
YDR267C,YHR044C,0.852119274942154
YNL088W,YOL012C,0.53606884449893
YOL104C,YPL200W,0.884419344852077
YJL177W,YKL180W,0.957795592557016
YGL115W,YJR083C,0.786182747552049
YHR030C,YLR187W,0.993029223233816
YAR002C-A,YEL002C,0.703072689507346
YDL020C,YIL075C,0.584984984984985
YBR160W,YMR199W,0.999977743134932
YLR148W,YML001W,0.85890670186545
YER022W,YPR168W,0.957795592557016
YER088C,YML010W,0.53606884449893
YHR027C,YJR017C,0.852119274942154
YDR101C,YER126C,0.996663124957413
YDR101C,YLR106C,0.836115707810694
YKR002W,YLR115W,0.999921855088758
YGR280C,YLR318W,0.660028449502134
YFR034C,YJR123W,0.669323604690042
YDR372C,YFR004W,0.53606884449893
YDR507C,YKL101W,0.88305739529492
YDL040C,YKL085W,0.548387096774194
YBR095C,YNL097C,0.990916256037435
YDL028C,YIL106W,0.966183274114761
YER031C,YLR026C,0.823939570017432
YFL039C,YLR196W,0.89184320486415
YIL146C,YPR049C,0.981574755814173
YMR114C,YMR216C,0.525804493017608
YDL126C,YDL147W,0.53606884449893
YBR123C,YMR039C,0.662650602409639
YGL137W,YIL124W,0.721967550772767
YKL052C,YKL180W,0.660028449502134
YBR146W,YGR215W,0.921706009057121
YDL100C,YHR027C,0.53606884449893
YHR203C,YLR175W,0.836115707810694
YDL105W,YLR007W,0.948237669061629
YBR135W,YKR091W,0.980506750731323
YDL208W,YNL308C,0.561558674939816
YGR046W,YKL060C,0.584984984984985
YCR016W,YJL128C,0.525804493017608
YGR162W,YJL090C,0.852119274942154
YDL014W,YFR034C,0.669323604690042
YAL032C,YJL112W,0.682167453566882
YBR084W,YPL249C-A,0.54847104749512
YIR010W,YLR222C,0.53606884449893
YDR233C,YLL039C,0.784767882955442
YOR252W,YPL093W,0.53606884449893
