YLR226W YPR161C
YER148W YGR104C
YJL203W YNL138W-A
YML114C YOR064C
YDR145W YMR033W
YGR009C YPL232W
YEL018W YNL136W
YHL029C YNL032W
YGL086W YGR188C
YGR091W YLR438C-A
YML025C YMR193W
YGR186W YNL151C
YDR240C YER172C
YOL145C YOR039W
YDR359C YOL148C
YOR308C YPR094W
YIL061C YOR319W
YKR083C YPR046W
YBR231C YPR023C
YDL075W YPL249C-A
YKR054C YML124C
YBR084C-A YDR471W
YGL116W YLR102C
YLR360W YPL120W
YLL021W YOL112W
YMR225C YPR100W
YGL112C YHL025W
YLR406C YPL220W
YMR240C YPR082C
YER148W YML015C
YOR110W YPL007C
YIL021W YPR187W
YGL201C YLR274W
YML069W YMR048W
YDR392W YPR023C
YLR147C YPR182W
YCR052W YMR033W
YDL195W YML012W
YDR159W YMR047C
YBR233W-A YDL028C
YGL129C YKL155C
YIL115C YNL189W
YGL123W YNL096C
YML098W YOR064C
YGR005C YIL021W
YKL006W YOL039W
YMR033W YNR010W
YGL103W YJR094W-A
YHL033C YPL131W
YDR337W YNL081C
YBL002W YDR489W
YFL039C YPR070W
YLR287C-A YLR367W
YNL147W YPR182W
YBR009C YLR103C
YNR010W YOR290C
YBR251W YDR041W
YJL176C YNR010W
YGR135W YOR261C
YIL076W YPL010W
YLR421C YPR103W
YPL235W YPR070W
YER146W YHR156C
YDL116W YJL041W
YDR404C YJR063W
YBR251W YGR215W
YNL248C YPR110C
YDR064W YGL189C
YNL136W YPL129W
YCR052W YHL025W
YJR042W YML103C
YGL123W YHR203C
YDR382W YLR448W
YCR081W YOR174W
YBR282W YML025C
YHR041C YNL059C
YBL093C YOR141C
YGL135W YOL039W
YML098W YOL135C
YDL045W-A YJR101W
YDL147W YDR427W
YDR235W YGR013W
YGL025C YMR112C
YGL016W YML103C
YKL057C YLR208W
YLR264W YOR096W
YDR363W-A YLR421C
YDR303C YLR321C
YHR058C YNR010W
YDR468C YHL031C
YJL190C YPL081W
YBL038W YLR439W
YNL248C YNR003C
YDL132W YDR054C
YLR116W YLR275W
YGL233W YPR055W
YDR324C YHR196W
YGL011C YOR259C
YGR118W YJR145C
YBR193C YJL176C
YDR045C YOR151C
YJR089W YLR045C
YDL002C YHR099W
YBR055C YPR182W
YIR009W YPR082C
YMR263W YNL330C
YBR167C YBR257W
YLR406C YOL120C
YHR079C-A YPL121C
YNL138W-A YPR082C
YDR473C YMR240C
YER029C YHR165C
YDL209C YGR129W
YDL007W YIL075C
YFR032C-A YPL249C-A
YCR093W YER068W
YDR225W YLR418C
YDR427W YGL048C
YDL150W YIL021W
YFL017W-A YIR009W
YGR246C YMR227C
YML102W YPR018W
YFR037C YLR357W
YDR167W YNR023W
YDR462W YKR006C
YBR055C YDL087C
YKL057C YML031W
YEL018W YOR141C
YDR237W YDR462W
YDR054C YDR131C
YAL013W YDL076C
YMR091C YPL235W
YCL061C YEL032W
YBR081C YER148W
YMR029C YMR052W
YGR075C YHR156C
YGL103W YGR148C
YFR037C YMR091C
YCR035C YOR001W
YDR488C YKR054C
YDR471W YGL147C
YGL031C YLR448W
YMR158W YNR037C
YAL003W YBR118W
YKL186C YKR082W
YFR010W YOR117W
YDL140C YPR187W
YGL103W YPL131W
YGR085C YLR075W
YGR274C YLR071C
YKL145W YMR314W
YHR119W YLR015W
YGR056W YPL016W
YJL149W YOL133W
YDR195W YLR015W
YFR008W YMR029C
YGR002C YJR082C
YBL072C YIL069C
YML025C YMR225C
YDR028C YKL193C
YLR315W YPL233W
YIL038C YNR052C
YOR174W YPR168W
YGR179C YGR188C
YBR198C YDR073W
YHL015W YPL081W
YBR251W YNL306W
YAL011W YJL081C
YDR202C YDR328C
YMR054W YOR270C
YJR101W YNL306W
YGL151W YPL082C
YBL052C YPR070W
YEL018W YLR385C
YLR005W YPR025C
YAR003W YMR061W
YGL070C YOR341W
YDL132W YDR328C
YDR322W YNL005C
YBR289W YDR073W
YGL092W YLR208W
YAR003W YPL138C
YMR294W YPL174C
YER021W YPR103W
YNL273W YPR135W
YIL046W YOR080W
YHR010W YOL127W
YDL102W YJR043C
YLR330W YOR299W
YER172C YIL061C
YGR002C YNL059C
YDR145W YNR010W
YOL051W YPL011C
YDR288W YOL034W
YGL098W YKL196C
YGR258C YPR025C
YBL025W YOR295W
YML062C YNL139C
YDR190C YGL151W
YDR159W YER107C
YBR010W YLR103C
YMR005W YPL082C
YGR095C YOL142W
YBL072C YGR027C
YML103C YOR098C
YHL025W YJL176C
YML063W YPL081W
YDR190C YNL136W
YER172C YGR075C
YFR004W YPR103W
YDR012W YMR194W
YBR198C YHR041C
YBR039W YDR298C
YGR085C YLR406C
YGL245W YPL010W
YGL061C YPL209C
YAL007C YPL218W
YLL049W YPL174C
YBR289W YHR041C
YFR036W YLR127C
YGL070C YGR186W
YOL076W YPR131C
YGR275W YPR070W
YOL021C YOL142W
YJR135C YLR045C
YDR418W YGL103W
YKL068W YMR047C
YOR064C YOR290C
YFL017W-A YHR156C
YGL060W YGR140W
YMR116C YNL302C
YBR253W YOR174W
YGL025C YNL059C
YJL081C YPL082C
YOR116C YOR224C
YDR337W YGR215W
YCL061C YGL207W
YIL115C YLR335W
YGR063C YPR133C
YDL081C YOR234C
YGL076C YLR029C
YGR118W YNL096C
YER022W YML114C
YLR116W YOR319W
YKL135C YLR170C
YER107C YIL115C
YLR438C-A YPR178W
YLR275W YNL147W
YGL244W YLR418C
YBR119W YMR240C
Q0085 YBR039W
YLR119W YPL065W
YGL172W YKL186C
YKL180W YNL301C
YGL129C YOR158W
YKL167C YML009C
YBR079C YDR429C
YIL061C YJR022W
YGR274C YJL081C
YBR154C YPR190C
YDL165W YIL038C
YCR042C YOL148C
YDL082W YDL136W
YBR233W-A YPL018W
YBR181C YDR447C
YGR118W YHR203C
YOR189W YPR168W
YBR154C YGR186W
YFL024C YNL107W
YBR146W YJR101W
YDR320C-A YKR083C
YJR135C YPR046W
YGL150C YLR052W
YIL126W YPR168W
YGR225W YKL022C
YLR029C YOL039W
YNL258C YOR075W
YFL013C YPL016W
YNL317W YPL138C
YKL012W YML046W
YGR076C YPL183W-A
YBL002W YIL150C
YEL018W YMR223W
YDR469W YMR061W
YOL039W YOR234C
YDR243C YIL061C
YER022W YPL129W
YGR158C YHR069C
YDR192C YMR153W
YHR041C YML015C
YDR200C YMR029C
YGR005C YOR064C
YGL123W YJL191W
YDL002C YPL011C
YDR260C YGL116W
YBR201W YLR207W
YGR085C YHR141C
YDL030W YPR182W
YBR253W YFL013C
YDL084W YDR381W
YDR462W YOR150W
YNL113W YNR003C
YKL167C YNL177C
YDR288W YEL019C
YOL051W YPL042C
YBR107C YLR381W
YGL207W YIL150C
YBL093C YER148W
YDL030W YGR091W
YLR045C YPL233W
YKL196C YLR078C
YER157W YGL223C
YHR165C YNL147W
YDR318W YLR381W
YDR016C YKR083C
YDL002C YLR085C
YDR363W-A YER012W
YML124C YMR198W
YDR405W YPR100W
YGR085C YPL143W
YAL021C YDL165W
YLR238W YMR052W
YML026C YML063W
YHR143W-A YOR151C
YBR095C YNL330C
YER146W YFL017W-A
YGR005C YOL135C
YGL150C YPR168W
YLR439W YPR100W
YBL079W YKL057C
YBR189W YMR116C
YER172C YPL178W
YGL147C YPL131W
YER102W YNL302C
YDR363W-A YHR027C
YGL127C YOR174W
YGR220C YLR439W
YLR033W YMR033W
YGL060W YMR117C
YER146W YHR165C
YDL014W YGR006W
YDL075W YHR010W
YER021W YHL030W
YDL185W YJR121W
YDL082W YLR325C
YFL039C YPL082C
YML092C YPR108W
YDR106W YLL049W
YDL007W YGL048C
YDL092W YPR088C
YBL006C YOR290C
YJR094W-A YPL131W
YDR447C YMR116C
YHR039C-A YPL234C
YBL003C YDR224C
YMR112C YPL082C
YCR071C YNL252C
YDL176W YMR135C
YMR054W YOR332W
YDR145W YGL025C
YDR190C YLR385C
YER110C YGL016W
YER172C YKL173W
YFR004W YHL030W
YPL122C YPR025C
YDL140C YPL129W
YOR117W YPR103W
YBR251W YHL004W
YDR363W-A YEL037C
YGL223C YPR105C
YBR198C YDR145W
YDR394W YFR050C
YDL147W YGR253C
YNL113W YOL005C
YMR203W YOR045W
YGL048C YOR362C
YBR289W YDR145W
YLR147C YOR159C
YBR156C YDR201W
YHR090C YPL047W
YKL074C YLR298C
YDR404C YPR187W
YER112W YER172C
YBL052C YDR190C
YGR165W YNL137C
YIL022W YNL328C
YHL001W YMR242C
YLR071C YOL135C
YBR279W YML062C
YKR006C YKR085C
YDL207W YKL186C
YDL075W YNL069C
YBR154C YPR010C
YIL061C YLR438C-A
YCL016C YOR144C
YIL038C YPR072W
YPL016W YPR070W
YKL012W YNL286W
YDR201W YOL069W
YFL018C YIL125W
YHL019C YPL259C
YNL147W YOR159C
YAL011W YDL002C
YIL142W YJL111W
YBR031W YGL076C
YNR010W YPR168W
YDR207C YNL097C
YDL140C YDR404C
