From	To
O00623	hsa:5193
P35590	hsa:7075
P02533	hsa:3861
P68400	hsa:1457
Q16143	hsa:6620
Q13077	hsa:7185
Q99759	hsa:4215
Q05586	hsa:2902
P0CG47	hsa:7314
Q99569	hsa:8502
P19544	hsa:7490
P08621	hsa:6625
P35606	hsa:9276
Q9BXW9	hsa:2177
Q9UBP5	hsa:23493
P37840	hsa:6622
Q15942	hsa:7791
Q99459	hsa:988
O00716	hsa:1871
P49116	hsa:7182
O75381	hsa:5195
O60674	hsa:3717
P35368	hsa:147
O75400	hsa:55660
Q96B26	hsa:11340
O95983	hsa:53615
Q15050	hsa:23212
Q03167	hsa:7049
Q9Y333	hsa:57819
Q16513	hsa:5586
Q8IUC6	hsa:148022
P28482	hsa:5594
O43929	hsa:5000
P06493	hsa:983
Q96CV9	hsa:10133
P67775	hsa:5515
P48730	hsa:1453
Q9P1Z0	hsa:57659
P62995	hsa:6434
O43447	hsa:10465
P30153	hsa:5518
Q9NQT4	hsa:56915
O96020	hsa:9134
O00628	hsa:5191
Q08170	hsa:6429
P43004	hsa:6506
O15315	hsa:5890
Q9UJV9	hsa:51428
O75446	hsa:8819
P78352	hsa:1742
P49207	hsa:6164
P27815	hsa:5141
P63162	hsa:6638
P63162	hsa:8926
Q5TD97	hsa:9457
Q13485	hsa:4089
P06213	hsa:3643
P13647	hsa:3852
Q15029	hsa:9343
Q15910	hsa:2146
Q5RKV6	hsa:118460
P51843	hsa:190
O75376	hsa:9611
P15531	hsa:4830
P31946	hsa:7529
Q15424	hsa:6294
P26641	hsa:1937
P17948	hsa:2321
P59190	hsa:376267
Q13671	hsa:9610
Q13247	hsa:6431
P01112	hsa:3265
P06400	hsa:5925
P24666	hsa:52
O75419	hsa:8318
Q53GS9	hsa:10713
Q9UKY1	hsa:11244
Q06609	hsa:5888
O43290	hsa:9092
P25100	hsa:146
P17980	hsa:5702
Q07343	hsa:5142
Q86Y07	hsa:7444
Q9NZM6	hsa:27039
Q08493	hsa:5143
P10415	hsa:596
Q8TEW0	hsa:56288
P38936	hsa:1026
O96011	hsa:8799
O15304	hsa:10572
Q04771	hsa:90
P06703	hsa:6277
Q15466	hsa:8431
P63165	hsa:7341
P33991	hsa:4173
P62834	hsa:5906
Q9Y618	hsa:9612
P01100	hsa:2353
P26038	hsa:4478
Q13643	hsa:2275
Q96RL1	hsa:51720
Q16611	hsa:578
Q16539	hsa:1432
Q9NPD3	hsa:54512
Q06587	hsa:6015
Q16891	hsa:10989
P23297	hsa:6271
P10276	hsa:5914
P51965	hsa:7324
Q13133	hsa:10062
Q12873	hsa:1107
Q9BUB5	hsa:8569
Q12933	hsa:7186
P27361	hsa:5595
Q92843	hsa:599
P41220	hsa:5997
O75192	hsa:8800
P42771	hsa:1029
P49736	hsa:4171
Q15329	hsa:1875
P63146	hsa:7320
P13631	hsa:5916
Q6ZP65	hsa:92558
P62873	hsa:2782
P08047	hsa:6667
Q9P2H0	hsa:57562
Q9Y4Y9	hsa:23658
P17706	hsa:5771
