From	To
Q02648	sce:YPL030W
Q04116	sce:YDR451C
Q05926	sce:YLR364W
P36141	sce:YKR049C
P0CX43	sce:YGL135W
P0CX43	sce:YPL220W
P0CX84	sce:YDL136W
P0CX84	sce:YDL191W
P48015	sce:YDR019C
P0CX32	sce:YER074W
P0CX32	sce:YIL069C
Q07799	sce:YLL007C
P0CX54	sce:YDR418W
P0CX54	sce:YEL054C
P53338	sce:YGR288W
Q12751	sce:YMR185W
P16965	sce:YGR008C
Q12391	sce:YNL284C-A
P19211	sce:YJR047C
Q08925	sce:YPL184C
P23248	sce:YML063W
Q08225	sce:YOL057W
P05756	sce:YDR064W
P0CT04	sce:YNL015W
P47006	sce:YJL148W
Q03429	sce:YDR493W
Q01766	sce:YPR005C
P35997	sce:YKL156W
P0CX24	sce:YMR242C
P0CX24	sce:YOR312C
P38073	sce:YBR033W
Q05473	sce:YDR336W
P26370	sce:YDL170W
Q12470	sce:YNL054W-A
P15801	sce:YOR330C
P53200	sce:YGR001C
P0CX74	sce:YJR026W
P0CX74	sce:YLR227W-A
P0CX74	sce:YML040W
Q92392	sce:YOL103W-A
P0CX82	sce:YBL027W
P0CX82	sce:YBR084C-A
P53889	sce:YNL168C
P0CX30	sce:YGR118W
P0CX30	sce:YPR132W
P49095	sce:YMR189W
P47169	sce:YJR137C
P0CX56	sce:YDR450W
P0CX56	sce:YML026C
P0CY08	sce:YCL067C
P0CY08	sce:YCR039C
P48445	sce:YDL141W
P0CY09	sce:YCL067C
P0CY09	sce:YCR039C
Q06504	sce:YPR131C
P32047	sce:YNL074C
P0CX41	sce:YBL087C
P0CX41	sce:YER117W
P38746	sce:YHL014C
P02407	sce:YML024W
P38830	sce:YHR124W
Q03796	sce:YMR156C
Q12392	sce:YDR034C-C
Q12439	sce:YOR192C-A
Q02753	sce:YBR191W
P38157	sce:YBR297W
Q01662	sce:YLR244C
P38116	sce:YBR164C
P34231	sce:YKL187C
P0C5N3	sce:YGL041W-A
Q05584	sce:YDR272W
